Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~210806300163-李烨攀.PrjPcb|ReportField=ProjectFullPath~C:\Users\lyp\Desktop\PCB\210806300163-李烨攀\210806300163-李烨攀.PrjPcb|ReportField=Title~Bill of Materials For Project [210806300163-李烨攀.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~12|ReportField=ReportTime~23:05:11|ReportField=ReportDate~2022/3/16|ReportField=ReportDateTime~2022/3/16 23:05:11|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2022/3/16|ReportField=CurrentTime~22:52:43|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\lyp\Desktop\PCB\210806300163-李烨攀\210806300163-李烨攀.SchDoc|ReportField=DocumentName~210806300163-李烨攀.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2022/3/16|ReportField=Organization~|ReportField=ProjectName~210806300163-李烨攀.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~210806300163-李烨攀.PrjPcb|ReportField=DataSourceFullPath~C:\Users\lyp\Desktop\PCB\210806300163-李烨攀\210806300163-李烨攀.PrjPcb
1|Cap|Capacitor|C1, C2|RAD-0.3|Cap|2
2||Photosensitive Diode|D1|PIN2|Photo Sen|1
3|2N2907A|General Purpose Amplifier and Switch|Q1, Q2, Q3|TO-18|2N2907A|3
4|Res1|Resistor|R1, R2, R3, R4, R5|AXIAL-0.3|Res1|5
5|Volt Reg|Voltage Regulator|VR1|TO254P1510-3_4N|Volt Reg|1
